pclass,sex,age,fare,sibsp,parch,survived
Third,male,22.0,7.25,1,0,0
First,female,38.0,71.2833,1,0,1
Third,female,26.0,7.925,0,0,1
First,female,35.0,53.1,1,0,1
Third,male,35.0,8.05,0,0,0
First,male,54.0,51.8625,0,0,0
Third,male,2.0,21.075,3,1,0
Third,female,27.0,11.1333,0,2,1
Second,female,14.0,30.0708,1,0,1
Third,female,4.0,16.7,1,1,1
First,female,58.0,26.55,0,0,1
Third,male,20.0,8.05,0,0,0
Third,male,39.0,31.275,1,5,0
Third,female,14.0,7.8542,0,0,0
Second,female,55.0,16.0,0,0,1
Third,male,2.0,29.125,4,1,0
Third,female,31.0,18.0,1,0,0
Second,male,35.0,26.0,0,0,0
Second,male,34.0,13.0,0,0,1
Third,female,15.0,8.0292,0,0,1
First,male,28.0,35.5,0,0,1
Third,female,8.0,21.075,3,1,0
Third,female,38.0,31.3875,1,5,1
First,male,19.0,263.0,3,2,0
First,male,40.0,27.7208,0,0,0
Second,male,66.0,10.5,0,0,0
First,male,28.0,82.1708,1,0,0
First,male,42.0,52.0,1,0,0
Third,male,21.0,8.05,0,0,0
Third,female,18.0,18.0,2,0,0
Third,female,14.0,11.2417,1,0,1
Third,female,40.0,9.475,1,0,0
Second,female,27.0,21.0,1,0,0
Second,female,3.0,41.5792,1,2,1
Third,female,19.0,7.8792,0,0,1
Third,female,18.0,17.8,1,0,0
Third,male,7.0,39.6875,4,1,0
Third,male,21.0,7.8,0,0,0
First,female,49.0,76.7292,1,0,1
Second,female,29.0,26.0,1,0,1
First,male,65.0,61.9792,0,1,0
Second,female,21.0,10.5,0,0,1
Third,male,28.5,7.2292,0,0,0
Second,female,5.0,27.75,1,2,1
Third,male,11.0,46.9,5,2,0
Third,male,22.0,7.2292,0,0,0
First,female,38.0,80.0,0,0,1
First,male,45.0,83.475,1,0,0
Third,male,4.0,27.9,3,2,0
Second,female,29.0,10.5,0,0,1
Third,male,19.0,8.1583,0,0,0
Third,female,17.0,7.925,4,2,1
Third,male,26.0,8.6625,2,0,0
Second,male,32.0,10.5,0,0,0
Third,female,16.0,46.9,5,2,0
Second,male,21.0,73.5,0,0,0
Third,male,26.0,14.4542,1,0,0
Third,male,32.0,56.4958,0,0,1
Third,male,25.0,7.65,0,0,0
Second,male,0.83,29.0,0,2,1
Third,female,30.0,12.475,0,0,1
Third,male,22.0,9.0,0,0,0
Third,male,29.0,9.5,0,0,1
First,male,28.0,47.1,0,0,0
Second,female,17.0,10.5,0,0,1
Third,female,33.0,15.85,3,0,1
Third,male,16.0,34.375,1,3,0
First,female,23.0,263.0,3,2,1
Third,male,24.0,8.05,0,0,0
Third,male,29.0,8.05,0,0,0
Third,male,20.0,7.8542,0,0,0
First,male,46.0,61.175,1,0,0
Third,male,26.0,20.575,1,2,0
Third,male,59.0,7.25,0,0,0
First,male,71.0,34.6542,0,0,0
First,male,23.0,63.3583,0,1,1
Second,female,34.0,23.0,0,1,1
Second,male,34.0,26.0,1,0,0
Third,female,28.0,7.8958,0,0,0
First,male,21.0,77.2875,0,1,0
Third,male,33.0,8.6542,0,0,0
Third,male,37.0,7.925,2,0,0
Third,male,28.0,7.8958,0,0,0
Third,female,21.0,7.65,0,0,1
Third,male,38.0,7.8958,0,0,0
First,male,47.0,52.0,0,0,0
Third,female,14.5,14.4542,1,0,0
Third,male,22.0,8.05,0,0,0
Third,female,20.0,9.825,1,0,0
Third,female,17.0,14.4583,0,0,0
Third,male,21.0,7.925,0,0,0
Third,male,70.5,7.75,0,0,0
Second,male,29.0,21.0,1,0,0
First,male,24.0,247.5208,0,1,0
Third,female,2.0,31.275,4,2,0
Second,male,21.0,73.5,2,0,0
Second,male,32.5,30.0708,1,0,0
Second,female,32.5,13.0,0,0,1
First,male,54.0,77.2875,0,1,0
Third,male,12.0,11.2417,1,0,1
Third,male,24.0,7.1417,0,0,1
Third,male,45.0,6.975,0,0,0
Third,male,33.0,7.8958,0,0,0
Third,male,20.0,7.05,0,0,0
Third,female,47.0,14.5,1,0,0
Second,female,29.0,26.0,1,0,1
Second,male,25.0,13.0,0,0,0
Second,male,23.0,15.0458,0,0,0
First,female,19.0,26.2833,0,2,1
First,male,37.0,53.1,1,0,0
Third,male,16.0,9.2167,0,0,0
First,male,24.0,79.2,0,0,0
Third,female,22.0,7.75,0,0,1
Third,female,24.0,15.85,1,0,1
Third,male,19.0,6.75,0,0,0
Second,male,18.0,11.5,0,0,0
Second,male,19.0,36.75,1,1,0
Third,male,27.0,7.7958,0,0,1
Third,female,9.0,34.375,2,2,0
Second,male,36.5,26.0,0,2,0
Second,male,42.0,13.0,0,0,0
Second,male,51.0,12.525,0,0,0
First,female,22.0,66.6,1,0,1
Third,male,55.5,8.05,0,0,0
Third,male,40.5,14.5,0,2,0
First,male,51.0,61.3792,0,1,0
Third,female,16.0,7.7333,0,0,1
Third,male,30.0,8.05,0,0,0
Third,male,44.0,16.1,0,1,0
Second,female,40.0,15.75,0,0,1
Third,male,26.0,7.775,0,0,0
Third,male,17.0,8.6625,0,0,0
Third,male,1.0,39.6875,4,1,0
Third,male,9.0,20.525,0,2,1
Third,female,45.0,27.9,1,4,0
Third,male,28.0,56.4958,0,0,0
First,male,61.0,33.5,0,0,0
Third,male,4.0,29.125,4,1,0
Third,female,1.0,11.1333,1,1,1
Third,male,21.0,7.925,0,0,0
First,male,56.0,30.6958,0,0,0
Third,male,18.0,7.8542,1,1,0
First,female,50.0,28.7125,0,0,0
Second,male,30.0,13.0,0,0,0
Third,male,36.0,0.0,0,0,0
Third,male,9.0,31.3875,4,2,0
Second,male,1.0,39.0,2,1,1
Third,female,4.0,22.025,0,2,1
First,male,45.0,26.55,0,0,1
Third,male,40.0,15.5,1,1,0
Third,male,36.0,7.8958,0,0,0
Second,female,32.0,13.0,0,0,1
Second,male,19.0,13.0,0,0,0
Third,female,19.0,7.8542,1,0,1
Second,male,3.0,26.0,1,1,1
First,female,44.0,27.7208,0,0,1
First,female,58.0,146.5208,0,0,1
Third,male,42.0,8.4042,0,1,0
Second,female,24.0,13.0,0,0,0
Third,male,28.0,9.5,0,0,0
Third,male,34.0,6.4958,0,0,0
Third,male,45.5,7.225,0,0,0
Third,male,18.0,8.05,0,0,1
Third,female,2.0,10.4625,0,1,0
Third,male,32.0,15.85,1,0,0
Third,male,26.0,18.7875,0,0,1
Third,female,16.0,7.75,0,0,1
First,male,40.0,31.0,0,0,1
Third,male,24.0,7.05,0,0,0
Second,female,35.0,21.0,0,0,1
Third,male,22.0,7.25,0,0,0
Second,male,30.0,13.0,0,0,0
First,female,31.0,113.275,1,0,1
Third,female,27.0,7.925,0,0,1
Second,male,42.0,27.0,1,0,0
First,female,32.0,76.2917,0,0,1
Second,male,30.0,10.5,0,0,0
Third,male,16.0,8.05,0,0,1
Second,male,27.0,13.0,0,0,0
Third,male,51.0,8.05,0,0,0
First,male,38.0,90.0,1,0,1
Third,male,22.0,9.35,0,0,0
Second,male,19.0,10.5,0,0,1
Third,male,20.5,7.25,0,0,0
Second,male,18.0,13.0,0,0,0
First,female,35.0,83.475,1,0,1
Third,male,29.0,7.775,0,0,0
Second,male,59.0,13.5,0,0,0
Third,female,5.0,31.3875,4,2,1
Second,male,24.0,10.5,0,0,0
Second,male,44.0,26.0,1,0,0
Second,female,8.0,26.25,0,2,1
Second,male,19.0,10.5,0,0,0
Second,male,33.0,12.275,0,0,0
Second,male,29.0,10.5,0,0,0
Third,male,22.0,7.125,0,0,0
Third,male,30.0,7.225,0,0,0
First,male,44.0,90.0,2,0,0
Third,female,25.0,7.775,0,0,0
Second,female,24.0,14.5,0,2,1
First,male,37.0,52.5542,1,1,1
Second,male,54.0,26.0,1,0,0
Third,female,29.0,10.4625,1,1,0
First,male,62.0,26.55,0,0,0
Third,male,30.0,16.1,1,0,0
Third,female,41.0,20.2125,0,2,0
Third,female,29.0,15.2458,0,2,1
First,female,30.0,86.5,0,0,1
First,female,35.0,512.3292,0,0,1
Second,female,50.0,26.0,0,1,1
Third,male,3.0,31.3875,4,2,1
First,male,52.0,79.65,1,1,0
First,male,40.0,0.0,0,0,0
Second,male,36.0,10.5,0,0,0
Third,male,16.0,39.6875,4,1,0
Third,male,25.0,7.775,1,0,1
First,female,58.0,153.4625,0,1,1
First,female,35.0,135.6333,0,0,1
Third,male,25.0,0.0,0,0,1
Second,female,41.0,19.5,0,1,1
First,male,37.0,29.7,0,1,0
First,female,63.0,77.9583,1,0,1
Third,female,45.0,7.75,0,0,0
Third,male,7.0,29.125,4,1,0
Third,female,35.0,20.25,1,1,1
Third,male,65.0,7.75,0,0,0
Third,male,28.0,7.8542,0,0,0
Third,male,16.0,9.5,0,0,0
Third,male,19.0,8.05,0,0,1
Third,male,33.0,8.6625,0,0,0
Third,male,30.0,9.5,0,0,1
Third,male,22.0,7.8958,0,0,0
Second,male,42.0,13.0,0,0,1
Third,female,22.0,7.75,0,0,1
First,female,26.0,78.85,0,0,1
First,female,19.0,91.0792,1,0,1
Second,male,36.0,12.875,0,0,0
Third,female,24.0,8.85,0,0,0
Third,male,24.0,7.8958,0,0,0
Third,male,23.5,7.2292,0,0,0
First,female,2.0,151.55,1,2,0
First,female,50.0,247.5208,0,1,1
Third,male,19.0,0.0,0,0,0
First,male,0.92,151.55,1,2,1
First,female,17.0,108.9,1,0,1
Second,male,30.0,24.0,1,0,0
First,female,30.0,56.9292,0,0,1
First,female,24.0,83.1583,0,0,1
First,female,18.0,262.375,2,2,1
Second,female,26.0,26.0,1,1,0
Third,male,28.0,7.8958,0,0,0
Second,male,43.0,26.25,1,1,0
Third,female,26.0,7.8542,0,0,1
Second,female,24.0,26.0,1,0,1
Second,male,54.0,14.0,0,0,0
First,female,31.0,164.8667,0,2,1
First,female,40.0,134.5,1,1,1
Third,male,22.0,7.25,0,0,0
Third,male,27.0,7.8958,0,0,0
Second,female,30.0,12.35,0,0,1
Second,female,22.0,29.0,1,1,1
First,female,36.0,135.6333,0,0,1
Third,male,61.0,6.2375,0,0,0
Second,female,36.0,13.0,0,0,1
Third,female,31.0,20.525,1,1,1
First,female,16.0,57.9792,0,1,1
First,male,45.5,28.5,0,0,0
First,male,38.0,153.4625,0,1,0
Third,male,16.0,18.0,2,0,0
First,male,29.0,66.6,1,0,0
First,female,41.0,134.5,0,0,1
Third,male,45.0,8.05,0,0,1
First,male,45.0,35.5,0,0,0
Second,male,2.0,26.0,1,1,1
First,female,24.0,263.0,3,2,1
Second,male,28.0,13.0,0,0,0
Second,male,25.0,13.0,0,0,0
Second,male,36.0,13.0,0,0,0
Second,female,24.0,13.0,0,0,1
Second,female,40.0,13.0,0,0,1
Third,male,3.0,15.9,1,1,1
Third,male,42.0,8.6625,0,0,0
